127.0.0.1 - - [08/Oct/2016:23:20:13 -0300] "GET / HTTP/1.1" 404 3448
127.0.0.1 - - [08/Oct/2016:23:20:14 -0300] "GET /favicon.ico HTTP/1.1" 404 3480
127.0.0.1 - - [08/Oct/2016:23:20:14 -0300] "GET /favicon.ico HTTP/1.1" 404 3480
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /Index HTTP/1.1" 301 284
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /Index/ HTTP/1.1" 200 2902
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/css/materialize.min.css HTTP/1.1" 404 521
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/css/Site.css HTTP/1.1" 404 510
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/images/img9.png HTTP/1.1" 404 513
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/images/img8.png HTTP/1.1" 404 513
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/images/Img11.png HTTP/1.1" 404 514
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/images/Img12.png HTTP/1.1" 404 514
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/js/materialize.min.js HTTP/1.1" 404 519
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/js/Site.js HTTP/1.1" 404 508
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/js/materialize.min.js HTTP/1.1" 404 519
127.0.0.1 - - [08/Oct/2016:23:20:25 -0300] "GET /static/js/Site.js HTTP/1.1" 404 508
127.0.0.1 - - [08/Oct/2016:23:20:35 -0300] "GET /Index/ HTTP/1.1" 200 2903
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /Index/ HTTP/1.1" 200 2903
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/css/materialize.min.css HTTP/1.1" 404 521
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/css/Site.css HTTP/1.1" 404 510
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/js/materialize.min.js HTTP/1.1" 404 519
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/js/Site.js HTTP/1.1" 404 508
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/images/Img12.png HTTP/1.1" 404 515
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/images/img9.png HTTP/1.1" 404 513
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/images/Img11.png HTTP/1.1" 404 515
127.0.0.1 - - [08/Oct/2016:23:23:45 -0300] "GET /static/images/img8.png HTTP/1.1" 404 514
127.0.0.1 - - [08/Oct/2016:23:23:46 -0300] "GET /static/js/materialize.min.js HTTP/1.1" 404 519
127.0.0.1 - - [08/Oct/2016:23:23:46 -0300] "GET /static/js/Site.js HTTP/1.1" 404 508
127.0.0.1 - - [08/Oct/2016:23:25:01 -0300] "GET /Index/ HTTP/1.1" 200 2903
